from_postcode,to_postcode,from_lat,from_long,to_lat,to_long,from_loc_identified,to_loc_identified,route_locs_identified,time_min,distance_km,imputed,no_route
E01013605, NG124GA,52.65745346,-1.134543185,52.91189897,-1.08405157, True, True, True,23,32.9,0,0
E01019744, M202AF,53.36821827,-1.986885912,53.439357,-2.221205, True, True, True,24,21.3,0,0
E01006675, M202AF,53.38965025,-2.95341287,53.439357,-2.221205, True, True, True,38,57.7,0,0
E01006119, M139WL,53.45432933,-2.343395982,53.46243503,-2.22771102, True, True, True,12,10.7,0,0
E01005288, M139WL,53.4527936,-2.226018016,53.46243503,-2.22771102, True, True, True,4,2.5,0,0
E01025368, M139WL,53.70722027,-2.199461,53.46243503,-2.22771102, True, True, True,38,49.4,0,0
E01005855, M139WL,53.41374224,-2.198640088,53.46243503,-2.22771102, True, True, True,10,8.5,0,0
E01005962, M139WL,53.47635882,-2.13181038,53.46243503,-2.22771102, True, True, True,10,8.1,0,0
E01005082, M139WL,53.42974434,-2.270519696,53.46243503,-2.22771102, True, True, True,9,6.1,0,0
E01005182, M139WL,53.447456,-2.24408694,53.46243503,-2.22771102, True, True, True,5,3.1,0,0
E01011978, M139WL,54.66010189,-1.238574,53.46243503,-2.22771102, True, True, True,127,217.8,0,0
E01006808, M139WL,53.49247037,-2.66770539,53.46243503,-2.22771102, True, True, True,26,37.8,0,0
E01033686, M139WL,53.45152991,-2.263656273,53.46243503,-2.22771102, True, True, True,6,3.4,0,0
E01004850, M139WL,53.57110706,-2.449154645,53.46243503,-2.22771102, True, True, True,20,26.2,0,0
E01005027, M139WL,53.59017126,-2.299991144,53.46243503,-2.22771102, True, True, True,21,30.5,0,0
E01005199, M139WL,53.44799897,-2.186604132,53.46243503,-2.22771102, True, True, True,5,4.1,0,0
E01005317, M139WL,53.36825563,-2.253132271,53.46243503,-2.22771102, True, True, True,14,16.3,0,0
E01005243, M139WL,53.45710431,-2.254669916,53.46243503,-2.22771102, True, True, True,4,2.6,0,0
E01006113, M139WL,53.45671676,-2.271459306,53.46243503,-2.22771102, True, True, True,7,5.2,0,0
E01005604, M139WL,53.47543137,-2.359672528,53.46243503,-2.22771102, True, True, True,12,11.6,0,0
E01019718, M139WL,53.32480085,-1.903349955,53.46243503,-2.22771102, True, True, True,33,30.9,0,0
E01005289, M139WL,53.386316,-2.252758,53.46243503,-2.22771102, True, True, True,12,11.9,0,0
E01004896, M139WL,53.53699089,-2.471501325,53.46243503,-2.22771102, True, True, True,18,25.5,0,0
E01005901, M139WL,53.408262,-2.105982,53.46243503,-2.22771102, True, True, True,15,14.5,0,0
E01005929, M139WL,53.37386329,-2.17342836,53.46243503,-2.22771102, True, True, True,16,16.6,0,0
E01005252, M139WL,53.5219283,-2.181167633,53.46243503,-2.22771102, True, True, True,11,9.8,0,0
E01006380, M139WL,53.50841979,-2.435116839,53.46243503,-2.22771102, True, True, True,16,17.6,0,0
E01005672, M139WL,53.51333872,-2.337072167,53.46243503,-2.22771102, True, True, True,13,11.4,0,0
E01006025, M139WL,53.451737,-2.030936,53.46243503,-2.22771102, True, True, True,14,15.8,0,0
E01005336, M139WL,53.55269559,-2.155579275,53.46243503,-2.22771102, True, True, True,18,20.4,0,0
E01006163, M139WL,53.42018716,-2.325455515,53.46243503,-2.22771102, True, True, True,14,11.8,0,0
E01005681, M139WL,53.48962427,-2.282777274,53.46243503,-2.22771102, True, True, True,9,7.7,0,0
E01010983, M139WL,53.71413996,-2.097842,53.46243503,-2.22771102, True, True, True,38,43.2,0,0
E01005619, M139WL,53.42126292,-2.443540312,53.46243503,-2.22771102, True, True, True,18,22.1,0,0
E01005659, M139WL,53.53447864,-2.434750427,53.46243503,-2.22771102, True, True, True,18,24.5,0,0
E01006024, M139WL,53.45039694,-2.056216,53.46243503,-2.22771102, True, True, True,14,13.6,0,0
