Der_Financial_Year,Der_Provider_Code,PbR_Cost_2425,Spell count,Mean spell cost
2024/25,RH5,13298.614452,1,13298.614452
2024/25,RJ7,87867.634558,7,12552.519222
2024/25,R1H,62433.285835,5,12486.657167
2024/25,RJZ,356701.195745,33,10809.127143
2024/25,RJ1,746155.505092,79,9445.006393
2024/25,RAL,16789.520211,2,8394.760105
2024/25,RDU,7817.835651,1,7817.835651
2024/25,RHQ,15244.924024,2,7622.462012
2024/25,RNQ,7312.027383,1,7312.027383
2024/25,RAJ,21407.195590,3,7135.731863
2024/25,RA7,6963.867963,1,6963.867963
2024/25,R0A,6870.498332,1,6870.498332
2024/25,RVV,6401008.563555,957,6688.619188
2024/25,RYJ,6281.020901,1,6281.020901
2024/25,RH8,6196.383836,1,6196.383836
2024/25,RTR,6149.807646,1,6149.807646
2024/25,RXC,66394.195995,11,6035.835999
2024/25,RHM,5731.592962,1,5731.592962
2024/25,RR8,5567.270363,1,5567.270363
2024/25,RN5,5395.352569,1,5395.352569
2024/25,RTK,5339.258063,1,5339.258063
2024/25,RKB,4766.208954,1,4766.208954
2024/25,RWH,4668.528560,1,4668.528560
2024/25,RYR,27087.975582,6,4514.662597
2024/25,RM1,9007.702359,2,4503.851179
2024/25,RL4,4148.973554,1,4148.973554
