Provider Code,Provider name,2024/25 MFF value
R0A,Manchester University NHS Foundation Trust,1.045148
R0B,South Tyneside And Sunderland NHS Foundation Trust,1.024496
R0D,University Hospitals Dorset NHS Foundation Trust,1.043026
R1A,Herefordshire and Worcestershire Health and Care NHS Trust,1.031616
R1C,Solent NHS Trust,1.053075
R1D,Shropshire Community Health NHS Trust,1.022017
R1F,Isle Of Wight NHS Trust,1.021975
R1H,Barts Health NHS Trust,1.168433
R1K,London North West University Healthcare NHS Trust,1.149774
R1L,Essex Partnership University NHS Foundation Trust,1.079062
RA2,Royal Surrey County Hospital NHS Foundation Trust,1.112197
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,1.056667
RA9,Torbay And South Devon NHS Foundation Trust,1
RAE,Bradford Teaching Hospitals NHS Foundation Trust,1.015149
RAJ,Mid and South Essex NHS Foundation Trust,1.066846
RAL,Royal Free London NHS Foundation Trust,1.166821
RAN,Royal National Orthopaedic Hospital NHS Trust,1.14361
RAP,North Middlesex University Hospital NHS Trust,1.158728
RAS,The Hillingdon Hospitals NHS Foundation Trust,1.136638
RAT,North East London NHS Foundation Trust,1.15846
RAX,Kingston Hospital NHS Foundation Trust,1.153291
RBD,Dorset County Hospital NHS Foundation Trust,1.029506
RBK,Walsall Healthcare NHS Trust,1.025976
RBL,Wirral University Teaching Hospital NHS Foundation Trust,1.026794
RBN,Mersey & West Lancashire Teaching Hospitals NHS Trust,1.030819
RBQ,Liverpool Heart And Chest Hospital NHS Foundation Trust,1.029987
RBS,Alder Hey Children's NHS Foundation Trust,1.029827
RBT,Mid Cheshire Hospitals NHS Foundation Trust,1.034314
RBV,The Christie NHS Foundation Trust,1.045817
RC9,Bedfordshire Hospitals NHS Foundation Trust,1.072368
RCB,York and Scarborough Teaching Hospitals NHS Foundation Trust,1.025531
RCD,Harrogate And District NHS Foundation Trust,1.031831
RCF,Airedale NHS Foundation Trust,1.012274
RCU,Sheffield Children's NHS Foundation Trust,1.024382
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",1.024664
RD1,Royal United Hospitals Bath NHS Foundation Trust,1.048404
RD8,Milton Keynes University Hospital NHS Foundation Trust,1.076517
RDE,East Suffolk And North Essex NHS Foundation Trust,1.042571
RDR,Sussex Community NHS Foundation Trust,1.058473
RDU,Frimley Health NHS Foundation Trust,1.11943
RDY,Dorset Healthcare University NHS Foundation Trust,1.038987
REF,Royal Cornwall Hospitals NHS Trust,1.008588
REM,Liverpool University Hospitals NHS Foundation Trust,1.029804
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,1.026899
REP,Liverpool Women's NHS Foundation Trust,1.029678
RET,The Walton Centre NHS Foundation Trust,1.030137
