Der_Provider_Site_Code,Provider_Site_Name,Provider_Site_Name_Short,ODS_ProvSite_PostCode,Postcode_Trim,Grid_Ref_Easting,Grid_Ref_Northing,Longitude_1m,Latitude_1m,Region_Name
E0A3H,E0A3H: Royal Sussex County Hospital,E0A3H: Royal Sussex County Hosp,BN2 5BE,BN25BE,5326,1039,-0.118176547,50.81946605,SOUTH EAST
N6J7V,N6J7V: Princess Royal Hospital,N6J7V: Princess Royal Hosp,RH16 4EX,RH164EX,5341,1230,-0.090282104,50.9910925,SOUTH EAST
R0A02,R0A02: Manchester Royal Infirmary,R0A02: Manchester Royal Infirmary,M13 9WL,M139WL,3849,3962,-2.227710973,53.46243379,NORTH WEST
R0A07,R0A07: Wythenshawe Hospital,R0A07: Wythenshawe Hosp,M23 9LT,M239LT,3805,3879,-2.293183392,53.38791966,NORTH WEST
R0A66,R0A66: North Manchester General Hospital,R0A66: North Manchester General Hosp,M8 5RB,M85RB,3848,4023,-2.229501564,53.51788006,NORTH WEST
R0D01,R0D01: Poole Hospital,R0D01: Poole Hosp,BH15 2JB,BH152JB,4019,913,-1.973116839,50.72198508,SOUTH WEST
R0D02,R0D02: Royal Bournemouth Hospital,R0D02: Royal Bournemouth Hosp,BH7 7DW,BH77DW,4127,942,-1.820519515,50.74747946,SOUTH WEST
R1H12,R1H12: The Royal London Hospital,R1H12: The Royal London Hosp,E1 1BB,E11BB,5348,1817,-0.058132897,51.51901556,LONDON
R1H86,R1H86: Blt Private Hospitals,R1H86: Blt Private Hosps,E1 1BB,E11BB,5348,1817,-0.058132897,51.51901556,LONDON
R1HKH,R1HKH: Whipps Cross University Hospital,R1HKH: Whipps Cross Uni Hosp,E11 1NR,E111NR,5388,1885,0.002638497,51.5788288,LONDON
R1HM0,R1HM0: St Bartholomew's Hospital,R1HM0: St Bartholomew's Hosp,EC1A 7BE,EC1A7BE,5319,1815,-0.100404194,51.51774741,LONDON
R1HNH,R1HNH: Newham General Hospital,R1HNH: Newham General Hosp,E13 8SL,E138SL,5412,1823,0.034717332,51.5227742,LONDON
R1K01,R1K01: Northwick Park Hospital,R1K01: Northwick Park Hosp,HA1 3UJ,HA13UJ,5163,1876,-0.32203703,51.57540456,LONDON
RA701,RA701: Bristol Royal Infirmary,RA701: Bristol Royal Infirmary,BS2 8HW,BS28HW,3586,1735,-2.596138546,51.45918106,SOUTH WEST
RA710,RA710: Bristol Haematology & Oncology Centre,RA710: Bristol Haematology & Oncology,BS2 8ED,BS28ED,3585,1734,-2.597623503,51.45826534,SOUTH WEST
RA7C2,RA7C2: Weston General Hospital,RA7C2: Weston General Hosp,BS23 4TQ,BS234TQ,3324,1585,-2.971398619,51.32233253,SOUTH WEST
RA7PH,RA7PH: Uh Bristol Private Hospitals (NHS Provided Beds),RA7PH: Uh Bristol Private Hosps (NHS ,BS2 8HW,BS28HW,3586,1735,-2.596138546,51.45918106,SOUTH WEST
RA901,RA901: Torbay Hospital,RA901: Torbay Hosp,TQ2 7AA,TQ27AA,2898,658,-3.553803908,50.48231385,SOUTH WEST
RAJ01,RAJ01: Southend Hospital,RAJ01: Southend Hosp,SS0 0RY,SS00RY,5864,1873,0.688617563,51.55383526,EAST OF ENGLAND
RAJ12,RAJ12: Basildon Hospital,RAJ12: Basildon Hosp,SS16 5NL,SS165NL,5700,1872,0.451737451,51.55843256,EAST OF ENGLAND
RAJ88,RAJ88: Brentwood Community Hospital,RAJ88: Brentwood Comm Hosp,CM15 8DR,CM158DR,5604,1941,0.316400701,51.62354955,EAST OF ENGLAND
RAL01,RAL01: Royal Free Hospital,RAL01: Royal Free Hosp,NW3 2QG,NW32QG,5272,1854,-0.165323526,51.55322191,LONDON
RAL26,RAL26: Barnet Hospital,RAL26: Barnet Hosp,EN5 3DJ,EN53DJ,5236,1961,-0.214152091,51.65072343,LONDON
RBD01,RBD01: Dorset County Hospital,RBD01: Dorset County Hosp,DT1 2JY,DT12JY,3685,904,-2.446936214,50.71293815,SOUTH WEST
RBQHQ,RBQHQ: Liverpool Heart and Chest Hospital NHS Trust HQ,RBQHQ: Liverpool Heart & Chest Hosp  ,L14 3PE,L143PE,3404,3908,-2.897989288,53.41114878,NORTH WEST
RCB55,RCB55: York Hospital,RCB55: York Hosp,YO31 8HE,YO318HE,4601,4529,-1.084284733,53.96894985,NORTH EAST AND YORKSHIRE
RD130,RD130: Royal United Hospital,RD130: Royal United Hosp,BA1 3NG,BA13NG,3728,1659,-2.391217783,51.39166297,SOUTH WEST
RDU01,RDU01: Frimley Park Hospital,RDU01: Frimley Park Hosp,GU16 7UJ,GU167UJ,4877,1585,-0.742028612,51.319664,SOUTH EAST
RDU50,RDU50: Wexham Park Hospital,RDU50: Wexham Park Hosp,SL2 4HL,SL24HL,4990,1824,-0.573992217,51.53200483,SOUTH EAST
REF12,REF12: Royal Cornwall Hospital (Treliske),REF12: Royal Cornwall Hosp (Treliske),TR1 3LJ,TR13LJ,1797,453,-5.091464154,50.26668378,SOUTH WEST
REM21,REM21: University Hospital Aintree,REM21: Uni Hosp Aintree,L9 7AL,L97AL,3382,3970,-2.93110385,53.46632031,NORTH WEST
RET20,RET20: The Walton Centre NHS Foundation Trust,RET20: The Walton Centre FT,L9 7LJ,L97LJ,3382,3970,-2.930999996,53.46639303,NORTH WEST
RF4QH,RF4QH: Queen's Hospital,RF4QH: Queen's Hosp,RM7 0AG,RM70AG,5511,1877,0.179030745,51.56864428,LONDON
RGM22,RGM22: Royal Papworth Hospital,RGM22: Royal Papworth Hosp,CB2 0AY,CB20AY,5461,2549,0.13601755,52.17350679,EAST OF ENGLAND
RGT01,RGT01: Addenbrooke's Hospital,RGT01: Addenbrooke's Hosp,CB2 0QQ,CB20QQ,5463,2549,0.139114583,52.17373841,EAST OF ENGLAND
RH5A8,RH5A8: Musgrove Park Hospital,RH5A8: Musgrove Park Hosp,TA1 5DA,TA15DA,3214,1241,-3.121693122,51.01157156,SOUTH WEST
RH800,RH800: Royal Devon University Healthcare NHS Foundation Trust (Site Unknown),RH800: Royal Devon Uni HC (Site Unk),NULL,NULL,NULL,NULL,NULL,NULL,SOUTH WEST
RH801,RH801: Royal Devon & Exeter Hospital (Wonford),RH801: Royal Devon & Exeter Hosp (Won,EX2 5DW,EX25DW,2937,918,-3.506679821,50.71670057,SOUTH WEST
RH880,RH880: North Devon District Hospital,RH880: North Devon District Hosp,EX31 4JB,EX314JB,2565,1345,-4.050431444,51.09216649,SOUTH WEST
RHM01,RHM01: Southampton General Hospital,RHM01: Southampton General Hosp,SO16 6YD,SO166YD,4397,1149,-1.435103936,50.93301707,SOUTH EAST
RHMH1,RHMH1: Spire Southampton Hospital,RHMH1: Spire Southampton Hosp,SO16 6UY,SO166UY,4399,1147,-1.432728327,50.93060458,SOUTH EAST
RHQHH,RHQHH: Royal Hallamshire Hospital,RHQHH: Royal Hallamshire Hosp,S10 2JF,S102JF,4338,3869,-1.493331157,53.37835249,NORTH EAST AND YORKSHIRE
RHQNG,RHQNG: Northern General Hospital,RHQNG: Northern General Hosp,S5 7AU,S57AU,4362,3904,-1.455966014,53.40980134,NORTH EAST AND YORKSHIRE
RHU03,RHU03: Queen Alexandra Hospital,RHU03: Queen Alexandra Hosp,PO6 3LY,PO63LY,4655,1060,-1.06993174,50.85029512,SOUTH EAST
RHW01,RHW01: Royal Berkshire Hospital,RHW01: Royal Berkshire Hosp,RG1 5AN,RG15AN,4724,1729,-0.959329989,51.45101955,SOUTH EAST
RJ121,RJ121: Guy's Hospital,RJ121: Guy's Hosp,SE1 9RT,SE19RT,5328,1800,-0.086796679,51.50332697,LONDON
RJ122,RJ122: St Thomas' Hospital,RJ122: St Thomas' Hosp,SE1 7EH,SE17EH,5306,1793,-0.118904903,51.49795625,LONDON
RJ181,RJ181: Harefield Hospital,RJ181: Harefield Hosp,UB9 6JH,UB96JH,5051,1908,-0.482768232,51.60672671,LONDON
RJ182,RJ182: Royal Brompton Hospital,RJ182: Royal Brompton Hosp,SW3 6NP,SW36NP,5270,1783,-0.170854807,51.48974057,LONDON
RJ231,RJ231: Queen Elizabeth Hospital,RJ231: Queen Elizabeth Hosp,SE18 4QH,SE184QH,5424,1774,0.050042852,51.47819104,LONDON
RJ701,RJ701: St George's Hospital (Tooting),RJ701: St George's Hosp (Tooting),SW17 0QT,SW170QT,5269,1713,-0.175718802,51.42667969,LONDON
RJE01,RJE01: Royal Stoke University Hospital,RJE01: Royal Stoke Uni Hosp,ST4 6QG,ST46QG,3858,3451,-2.211798714,53.00324185,MIDLANDS
RJE09,RJE09: County Hospital,RJE09: County Hosp,ST16 3SA,ST163SA,3935,3237,-2.09778499,52.81128897,MIDLANDS
RJZ01,RJZ01: King's College Hospital (Denmark Hill),RJZ01: King's College Hosp (Denmark H,SE5 9RS,SE59RS,5324,1760,-0.093915647,51.468075,LONDON
RJZ30,RJZ30: Princess Royal University Hospital,RJZ30: Princess Royal Uni Hosp,BR6 8ND,BR68ND,5434,1650,0.059146539,51.36624114,LONDON
RK950,RK950: Derriford Hospital,RK950: Derriford Hosp,PL6 8DH,PL68DH,2499,595,-4.113684544,50.41671768,SOUTH WEST
RK982,RK982: Spire St Anthony's Hospital,RK982: Spire St Anthony's Hosp,SM3 9DW,SM39DW,5239,1660,-0.220817878,51.37991916,SOUTH WEST
RKB01,RKB01: University Hospital (Coventry),RKB01: Uni Hosp (Coventry),CV2 2DX,CV22DX,4382,2805,-1.438403133,52.4212085,MIDLANDS
RKEQ4,RKEQ4: The Whittington Hospital,RKEQ4: The Whittington Hosp,N19 5NF,N195NF,5290,1869,-0.139092192,51.56647731,LONDON
